,Name,Symbol,Year,Mon,Day,High,Low,Open,Close,Volume,Marketcap,o_avg,c_avg,Price1,Volume1,Popularity
0,USD Coin,USDC,2018,10,2,1.03123,1.00003,1.00427,1.01631,1333562.16666667,0,1.008245,1.01045333333333,1.01451714285714,2370556.42857143,2404970.13489592
1,USD Coin,USDC,2018,10,3,1.11373,0.998372,1.0169,1.0129,2370556.42857143,20680670.8630571,1.01598428571429,1.01451714285714,1.0078256,1092967.5,1101520.626468
2,USD Coin,USDC,2018,10,4,1.0248,0.994033,1.01231,0.996386,1092967.5,96233984.42707,1.009018,1.0078256,0.999642571428571,1929700,1929010.27008571
3,USD Coin,USDC,2018,11,1,1.0184,0.982746,0.996413,1.0043,1929700,132419001.455938,0.999218142857143,0.999642571428571,1.01156285714286,7295497.14285714,7379853.93410612
4,USD Coin,USDC,2018,11,2,1.04334,0.995854,1.00383,1.02307,7295497.14285714,136846940.907883,1.00887142857143,1.01156285714286,1.01773285714286,18661025.7142857,18991939.0174163
5,USD Coin,USDC,2018,11,3,1.06139,1.00118,1.02067,1.01441,18661025.7142857,149722069.951727,1.01898285714286,1.01773285714286,1.01946149505222,19001510.441943,19371308.2433937
6,USD Coin,USDC,2018,11,4,1.05881,0.990265,1.01285,1.0103967066,19001510.441943,172218211.795612,1.01752367963691,1.01946149505222,1.01238849987571,16506938.9939928,16711435.2056683
7,USD Coin,USDC,2018,12,1,1.03179217969,0.993286726522,1.01281789515,1.01130803909,16506938.9939928,180370448.969414,1.01165588268857,1.01238849987571,1.02020565562143,12597401.1296023,12851939.878552
8,USD Coin,USDC,2018,12,2,1.04286467305,0.982985399626,1.0112983625,1.01729189891,12597401.1296023,194622446.573013,1.02106603429857,1.02020565562143,1.01196638241829,30410991.0970062,30774900.6461921
9,USD Coin,USDC,2018,12,3,1.04105986678,0.995120999139,1.01839308307,1.01542688275,30410991.0970062,217793614.785246,1.01594086619571,1.01196638241829,1.013840848944,25516069.6199262,25869233.6851801
10,USD Coin,USDC,2018,12,4,1.0402584327,0.978583207646,1.01244204493,1.01656512686,25516069.6199262,239256199.916109,1.013048932468,1.013840848944,1.01138373661,17178043.2506309,17373593.5704713
11,USD Coin,USDC,2019,1,1,1.02256171288,0.989168825695,1.01894586682,1.00535776026,17178043.2506309,292989933.469021,1.01284356262429,1.01138373661,1.00963047682143,25465305.70791,25710548.7442806
12,USD Coin,USDC,2019,1,2,1.03479335086,0.998743541439,1.00605375725,1.00759202201,25465305.70791,353055388.875749,1.00988295503143,1.00963047682143,1.01550371896714,22295119.7476615,22640777.018568
13,USD Coin,USDC,2019,1,3,1.04489153102,1.00261046194,1.00745829146,1.01254693092,22295119.7476615,330528726.328349,1.01391229507143,1.01550371896714,1.011758534493,21786233.2368583,22042407.4118464
14,USD Coin,USDC,2019,1,4,1.01932593302,1.00075802461,1.01300821304,1.01248483924,21786233.2368583,321107466.691365,1.012109255501,1.011758534493,1.01323992749429,23169467.5929166,23476229.6639281
15,USD Coin,USDC,2019,2,1,1.03189150724,1.00579969071,1.01176522442,1.01104835091,23169467.5929166,294316409.857988,1.01285188628,1.01323992749429,1.01393150310857,25010983.7517831,25359424.3496695
16,USD Coin,USDC,2019,2,2,1.02433464353,1.00821882128,1.0113919807,1.01142856991,25010983.7517831,259841422.757714,1.01400943634,1.01393150310857,1.01336788130143,43271654.2699822,43850104.6079798
17,USD Coin,USDC,2019,2,3,1.03094089945,0.998658346143,1.01197443995,1.01201724024,43271654.2699822,245631275.467679,1.01333540555571,1.01336788130143,1.01335072954714,40783454.7363573,41327943.6105406
18,USD Coin,USDC,2019,2,4,1.037757876,0.998950105585,1.0098363081,1.01367279334,40783454.7363573,233460233.349119,1.01222575956,1.01335072954714,1.01321895799714,23079864.5633505,23384956.3235931
19,USD Coin,USDC,2019,3,1,1.02372412272,1.00693102926,1.0131166326,1.01348473779,23079864.5633505,238949085.360224,1.01270949494143,1.01321895799714,1.01464868996143,26863191.0426907,27256701.5996497
20,USD Coin,USDC,2019,3,2,1.02284311065,1.00785391639,1.01444520158,1.0170898857,26863191.0426907,241189556.36211,1.01470177408143,1.01464868996143,1.01569917869,38176325.4675211,38775662.4227633
21,USD Coin,USDC,2019,3,3,1.02356701174,1.00999036425,1.01630649921,1.01404819022,38176325.4675211,244015910.676443,1.01627725881286,1.01569917869,1.009055753528,29641736.6607604,29910164.9221022
22,USD Coin,USDC,2019,3,4,1.04914887673,0.99295486557,1.01359974783,1.00149442646,29641736.6607604,247830434.517428,1.010191361099,1.009055753528,1.00242811664143,53954602.7525956,54085610.8214208
23,USD Coin,USDC,2019,4,1,1.02485519708,0.989150280302,1.00139377883,1.00535896685,53954602.7525956,258363160.434791,1.00185958817286,1.00242811664143,1.00321475792571,44913690.0470415,45058076.6880933
24,USD Coin,USDC,2019,4,2,1.014706009,0.9936602456,1.00574914031,1.00802489491,44913690.0470415,261841734.245358,1.00288528335571,1.00321475792571,1.00334265119886,38528633.1221967,38657420.903893
25,USD Coin,USDC,2019,4,3,1.01448079767,0.994410618553,1.00802489491,1.00208285589,38528633.1221967,255416502.906677,1.00460840216829,1.00334265119886,1.00976779810544,66851070.6661599,67504058.4275598
26,USD Coin,USDC,2019,4,4,1.02426156232,0.991964919636,1.00207046391,1.01530446914,66851070.6661599,273894372.624962,1.00803382276989,1.00976779810544,1.01191921479571,95671967.4651479,96812302.1952936
27,USD Coin,USDC,2019,5,1,1.02368898575,1.00287070561,1.01520874236,1.01069197528,95671967.4651479,301858784.319877,1.01257990963286,1.01191921479571,1.00154304763157,282432735.882678,282868543.04686
28,USD Coin,USDC,2019,5,2,1.01710122708,0.982582775348,1.00975761142,0.998840838665,282432735.882678,329463237.92363,1.00295188099029,1.00154304763157,0.998632759689714,226776159.907417,226466102.40018
29,USD Coin,USDC,2019,5,3,1.01881477419,0.989989071772,0.998904942982,0.998888741778,226776159.907417,356470223.797818,0.998795965963714,0.998632759689714,1.0002536918486,127857873.130534,127890309.630727
30,USD Coin,USDC,2019,5,4,1.02372457685,0.992297043948,0.998888741778,1.00104721301,127857873.130534,354674702.861013,1.0001538027651,1.0002536918486,1.00123283221286,94999504.2199601,95116622.668968
31,USD Coin,USDC,2019,6,1,1.01704681327,0.992252703221,1.00065451991,1.00168984563,94999504.2199601,335869593.883842,1.00128360848771,1.00123283221286,0.999799354049,85794750.7526106,85777536.383255
32,USD Coin,USDC,2019,6,2,1.00617229814,0.99183386045,1.00120748761,1.00257958192,85794750.7526106,340428299.490776,0.999423979540428,0.999799354049,0.999287906041428,100479374.372707,100407823.617255
33,USD Coin,USDC,2019,6,3,1.01355416506,0.993101213083,1.00163428474,0.998050840029,100479374.372707,343785899.461287,0.999964706255572,0.999287906041428,1.00168033490333,202102276.383456,202441875.892506
