,Name,Symbol,Year,Mon,Day,High,Low,Open,Close,Volume,Marketcap,o_avg,c_avg,Price1,Volume1,Popularity
0,Uniswap,UNI,2020,9,3,8.43853740886,3.26175747179,3.48815296148,4.26607855983,2848047398.00702,535961035.077047,5.3496100605025,5.532998762955,4.54597487615,656325406.319388,2983638807.70688
1,Uniswap,UNI,2020,9,4,5.52867918,3.755040311,4.27501366257,4.01301477,656325406.319388,440351697.927986,4.55924255139667,4.54597487615,3.50854463714286,566262930.427146,1986758767.76296
2,Uniswap,UNI,2020,10,1,4.50650345,2.46286782,4.01405244,2.80006352,566262930.427146,339859684.791226,3.68360491428571,3.50854463714286,3.27514151714286,546100585.909131,1788556701.44704
3,Uniswap,UNI,2020,10,2,3.63220356,2.58260796,2.79732568,3.08202347,546100585.909131,317250791.646607,3.23384413142857,3.27514151714286,3.02832929285714,442729570.155598,1340730926.11625
4,Uniswap,UNI,2020,10,3,3.28186631,2.80555941,3.0773485,2.94137384,442729570.155598,596483974.01952,3.04690580857143,3.02832929285714,2.721727329,355553703.898719,967720232.828317
5,Uniswap,UNI,2020,10,4,3.13980626,2.25159656,2.94084829,2.26642787,355553703.898719,572079442.701671,2.789631746,2.721727329,2.27448913857143,416343998.19028,946969901.793194
6,Uniswap,UNI,2020,11,1,2.99585781,1.76381655,2.26642788,2.46649654,416343998.19028,487898102.24466,2.24590745,2.27448913857143,3.15204386142857,583549146.812906,1839372506.0535
7,Uniswap,UNI,2020,11,2,3.96135021,2.44255685,2.46649654,3.80910701,583549146.812906,687083929.148492,2.96024252428571,3.15204386142857,3.73133845142857,828636253.608518,3091922315.33718
8,Uniswap,UNI,2020,11,3,4.23602319,3.24750812,3.809107,3.81223005,828636253.608518,829126742.857953,3.75306919285714,3.73133845142857,3.68197595444444,959821879.549888,3534041081.05236
9,Uniswap,UNI,2020,11,4,4.47937112,3.11653759,3.81223004,3.76907441,959821879.549888,870264107.530594,3.68676943222222,3.68197595444444,3.71596990857143,601593789.379804,2235504418.51881
10,Uniswap,UNI,2020,12,1,4.16847302,3.45703087,3.77261173,3.7645407,601593789.379804,915712414.770751,3.71757716857143,3.71596990857143,3.25739158285714,423156565.876194,1378386635.91585
11,Uniswap,UNI,2020,12,2,3.76422563,2.92648179,3.76422563,3.48526339,423156565.876194,818075596.737795,3.29728203714286,3.25739158285714,3.65310177428571,751610097.428949,2745708180.48875
12,Uniswap,UNI,2020,12,3,4.23610709,3.25121168,3.48430196,3.52324575,751610097.428949,933505539.685267,3.64745892857143,3.65310177428571,3.77793805,803655190.073978,3036159521.66046
13,Uniswap,UNI,2020,12,4,5.28374091,3.02677571,3.52019541,5.16833732,803655190.073978,986003628.173646,3.612699005,3.77793805,5.62734866857143,2293264677.11449,12904999927.4421
14,Uniswap,UNI,2021,1,1,6.7715262,4.49131952,5.16686113,6.26771472,2293264677.11449,1514270365.93371,5.47653222428571,5.62734866857143,6.0176168,2609854363.53712,15705103463.5743
15,Uniswap,UNI,2021,1,2,7.10648598,4.46727256,6.26641152,6.87152013,2609854363.53712,1646000519.84228,5.93039649,6.0176168,8.41181336428572,3229169945.42491,27163174902.4751
16,Uniswap,UNI,2021,1,3,9.83761936,6.46227056,6.89801435,7.60239984,3229169945.42491,2361495769.95694,8.30981534857143,8.41181336428572,13.713884971,3481570168.97592,47745852815.8008
17,Uniswap,UNI,2021,1,4,20.38612805,7.11654879,7.59045865,17.6662939,3481570168.97592,3941913134.55108,12.701603506,13.713884971,19.7976047228571,1436669753.07857,28442619888.7343
18,Uniswap,UNI,2021,2,1,22.27496047,16.72660728,17.69935544,18.68686418,1436669753.07857,5828260892.45286,19.6526289157143,19.7976047228571,20.95135489,1064654135.49,22305946627.7571
19,Uniswap,UNI,2021,2,2,23.59542092,18.18270635,18.67070506,20.93077401,1064654135.49,6308872274.18286,20.6210683414286,20.95135489,23.0306984428571,1516726198.48714,34931263697.7385
20,Uniswap,UNI,2021,2,3,32.63268288,17.62528326,20.90059012,28.82971549,1516726198.48714,6939822791.58286,21.8661816942857,23.0306984428571,24.558206565,1504940620.26167,36958642620.4452
