,Name,Symbol,Year,Mon,Day,High,Low,Open,Close,Volume,Marketcap,o_avg,c_avg,Price1,Volume1,Popularity
27,Wrapped Bitcoin,WBTC,2019,8,3,10912.4908347,9583.82505566,9993.41576293,10143.1025667,113267.362193982,5868778.52975345,10400.1195812471,10419.9921721286,9976.004066903,94960.3966139201,947325302.815189
28,Wrapped Bitcoin,WBTC,2019,8,4,40826.501116,8270.07271406,10143.561758,9674.72945755,94960.3966139201,5654086.70106465,10023.349475242,9976.004066903,10383.64729654,130173.424340349,1351674925.73302
29,Wrapped Bitcoin,WBTC,2019,9,1,10920.9881124,9554.75883712,9668.98111202,10443.2881104,130173.424340349,5910486.99740759,10273.2005997114,10383.64729654,10299.8069677429,79613.021329212,819998751.809679
30,Wrapped Bitcoin,WBTC,2019,9,2,10600.4218378,9989.6643706,10444.1055079,10382.6012962,79613.021329212,5862764.15406919,10318.8606643857,10299.8069677429,10180.0849009029,127581.947841146,1298795060.84542
31,Wrapped Bitcoin,WBTC,2019,9,3,10472.5430218,9787.50654075,10381.2777827,9994.83417432,127581.947841146,5794617.02819403,10228.6782418714,10180.0849009029,8673.95917057889,203730.043493229,1767146079.08053
32,Wrapped Bitcoin,WBTC,2019,9,4,10158.5306206,7778.9134623,9993.11492588,8312.41611126,203730.043493229,4943765.87044727,8859.54324144,8673.95917057889,8220.3396192,96701.4574668285,794918822.048954
33,Wrapped Bitcoin,WBTC,2019,10,1,8481.4746286,7671.33622506,8313.03996477,8235.09021486,96701.4574668285,4701421.39251863,8230.54001933572,8220.3396192,8412.42658511429,91272.3789306737,767822187.003024
34,Wrapped Bitcoin,WBTC,2019,10,2,8723.4898569,8127.9711072,8235.83566227,8367.57305692,91272.3789306737,4805153.42449445,8393.14845790571,8412.42658511429,8141.75622271286,65995.8699861019,537322285.132693
35,Wrapped Bitcoin,WBTC,2019,10,3,8424.59323397,7855.77624082,8368.83447269,8267.94820354,65995.8699861019,4650547.30631402,8155.73914539571,8141.75622271286,8765.528219194,180118.932557586,1578837586.14462
36,Wrapped Bitcoin,WBTC,2019,10,4,10204.8779675,7360.00427346,8269.07827982,9221.17796204,180118.932557586,5006862.42793979,8668.098822848,8765.528219194,9266.06333953714,99267.7184555322,919820966.780302
37,Wrapped Bitcoin,WBTC,2019,11,1,9491.00100171,9071.43549937,9209.70404655,9133.2746438,99267.7184555322,5306155.23274986,9275.27093512428,9266.06333953714,8826.29980747143,71865.2317122455,634304080.825682
38,Wrapped Bitcoin,WBTC,2019,11,2,9200.49333759,8668.70488586,9134.24168566,8731.70283882,71865.2317122455,5096169.50920077,8884.54314656286,8826.29980747143,8351.00727213286,134661.856042039,1124562139.08597
39,Wrapped Bitcoin,WBTC,2019,11,3,8792.87600276,7628.94410734,8731.70283882,7761.88710928,134661.856042039,4879425.56213736,8488.64752057286,8351.00727213286,7400.74172130556,117574.611953379,870139336.049683
40,Wrapped Bitcoin,WBTC,2019,11,4,7892.69966301,6585.32642243,7761.88710928,7599.79855126,117574.611953379,4361119.14528155,7417.53181133889,7400.74172130556,7404.29183333143,55960.0081833265,414344231.584964
41,Wrapped Bitcoin,WBTC,2019,12,1,7665.76644995,7164.11919938,7592.7285933,7516.45955463,55960.0081833265,4363211.16012371,7416.49643432714,7404.29183333143,7299.79881450429,42112.5684666693,307413277.368723
42,Wrapped Bitcoin,WBTC,2019,12,2,7615.14804661,7091.66044392,7516.45955463,7159.0813327,42112.5684666693,4301635.37189651,7349.50338309571,7299.79881450429,7081.73691504714,127771.980014888,904847547.580098
43,Wrapped Bitcoin,WBTC,2019,12,3,7342.46870342,6501.65919085,7159.0813327,7184.96057259,127771.980014888,4173135.55925729,7078.30607531286,7081.73691504714,7326.965020633,79063.9037845092,579298457.423792
44,Wrapped Bitcoin,WBTC,2019,12,4,7637.61412609,7148.0662693,7187.0767823,7204.77154134,79063.9037845092,4317643.91078546,7325.0951658,7326.965020633,7473.65837027571,112976.212084961,844345613.090816
45,Wrapped Bitcoin,WBTC,2020,1,1,8196.44321822,6958.03395303,7204.77154134,8140.17634235,112976.212084961,4407501.43774317,7339.82862007,7473.65837027571,8186.64078185429,155447.583753789,1272593528.59948
46,Wrapped Bitcoin,WBTC,2020,1,2,8981.5064293,7712.93951604,8140.17634235,8870.66326871,155447.583753789,4882072.49147725,8082.21586608572,8186.64078185429,8802.66645505429,286275.784974062,2519990249.28551
47,Wrapped Bitcoin,WBTC,2020,1,3,12083.961838,8584.56751889,8882.93432282,8766.51002087,286275.784974062,5328150.68278755,8818.63548697143,8802.66645505429,8924.803308925,103039.106388542,919603757.645135
48,Wrapped Bitcoin,WBTC,2020,1,4,9648.07282628,8262.81063448,8764.5758972,9358.92405427,103039.106388542,5557322.64708441,8865.354492277,8924.803308925,9506.12397231572,246557.386599873,2343805083.30857
49,Wrapped Bitcoin,WBTC,2020,2,1,10026.7709132,9125.07246197,9357.17796663,9841.6157191,246557.386599873,6224010.49590152,9434.80027342143,9506.12397231572,10165.4460448529,579947.173521611,5895421701.29885
50,Wrapped Bitcoin,WBTC,2020,2,2,10597.784715,9682.71693995,9830.31118756,10387.0310737,579947.173521611,7371335.7324276,10083.0848314929,10165.4460448529,9873.24455255857,928469.151321015,9167002990.49889
51,Wrapped Bitcoin,WBTC,2020,2,3,11950.9026744,9443.41806209,10387.0310737,9725.14965609,928469.151321015,8240123.62115901,9963.16890862,9873.24455255857,9187.46536027875,261982.715103286,2406957120.00322
52,Wrapped Bitcoin,WBTC,2020,2,4,9989.23095209,8487.94781169,9736.61155712,8562.34880142,261982.715103286,8156204.32303737,9335.15267863375,9187.46536027875,8879.61614728714,401818.605321486,3567994976.09306
53,Wrapped Bitcoin,WBTC,2020,3,1,9235.66910275,8438.49276765,8558.63106413,8887.20363315,401818.605321486,7871920.62478646,8832.69334185,8879.61614728714,6830.87118843143,671884.609478501,4589557220.83719
54,Wrapped Bitcoin,WBTC,2020,3,2,8887.20363315,4174.17727428,8887.20363315,5211.328733,671884.609478501,6065454.67130647,7351.46787568143,6830.87118843143,5660.48353401,563025.792208799,3186998226.02084
55,Wrapped Bitcoin,WBTC,2020,3,3,6841.40813757,4657.35413308,5211.328733,6208.29986722,563025.792208799,5142564.94943272,5519.71448251143,5660.48353401,6420.145569478,180066.620365567,1156053914.95087
56,Wrapped Bitcoin,WBTC,2020,3,4,6953.48519753,5767.74424691,6214.49563904,6483.63810104,180066.620365567,6132853.26602765,6391.716275328,6420.145569478,6944.22166814857,335780.444975393,2331733841.73869
57,Wrapped Bitcoin,WBTC,2020,4,1,7494.51381836,6225.17780369,6483.63810104,7197.57779047,335780.444975393,6900694.85545689,6843.61470595714,6944.22166814857,7007.31897429286,68036.4276426691,476752950.363578
58,Wrapped Bitcoin,WBTC,2020,4,2,7429.13219089,6610.56135045,7201.19718971,6819.50158251,68036.4276426691,7394112.03143855,7065.92255930143,7007.31897429286,7017.66450376857,186571.798344969,1309298286.64976
59,Wrapped Bitcoin,WBTC,2020,4,3,7327.3997767,6510.82921108,6821.71653037,6944.715797,186571.798344969,7512377.093879,7000.02686038429,7017.66450376857,7863.22271312778,393789.582871865,3096455192.23116
60,Wrapped Bitcoin,WBTC,2020,4,4,9422.91397617,6898.00228237,6945.31922188,8726.40543615,393789.582871865,8572378.81509018,7664.04534361333,7863.22271312778,9161.43811741286,583405.308373625,5344831630.03513
61,Wrapped Bitcoin,WBTC,2020,5,1,10012.3107088,8634.66496951,8726.40543615,9921.69763392,583405.308373625,10476562.7978536,8991.21540879857,9161.43811741286,9245.9759711,601931.327766556,5565442592.78189
62,Wrapped Bitcoin,WBTC,2020,5,2,10055.8926458,8395.28573231,9921.69763392,9752.21786284,601931.327766556,11995413.3097851,9270.22193010428,9245.9759711,9534.95325870143,275282.232752637,2624803222.24736
63,Wrapped Bitcoin,WBTC,2020,5,3,10082.6587779,8865.48274221,9749.91213759,9168.16616802,275282.232752637,12370322.5689865,9618.82135664,9534.95325870143,9259.133798925,287872.535199599,2665450320.44883
64,Wrapped Bitcoin,WBTC,2020,5,4,9782.24733441,8720.18626491,9169.67955577,9410.21275074,287872.535199599,12012483.8260305,9235.674499699,9259.133798925,9743.72883133714,374211.038285962,3646210882.75154
65,Wrapped Bitcoin,WBTC,2020,6,1,10194.8608015,9415.82156154,9415.82156154,9769.50010209,374211.038285962,12641180.8635117,9695.44431411715,9743.72883133714,9590.40937488429,220852.004950105,2118061138.73547
66,Wrapped Bitcoin,WBTC,2020,6,2,9991.04981934,9212.93673522,9771.92340894,9397.11924122,220852.004950105,12442269.4393059,9642.92214576857,9590.40937488429,9388.80521520143,614264.564140544,5767210343.31617
67,Wrapped Bitcoin,WBTC,2020,6,3,9613.85635196,8964.59909203,9397.11924122,9411.46052193,614264.564140544,12180715.0909141,9385.91298937857,9388.80521520143,9334.64224216889,1249350.69442792,11662241767.4899
68,Wrapped Bitcoin,WBTC,2020,6,4,10184.3551897,8928.12353042,9413.08306351,9186.48030802,1249350.69442792,49333017.7860299,9359.34259421111,9334.64224216889,9230.33528248,323821.521344026,2988981213.68811
69,Wrapped Bitcoin,WBTC,2020,7,1,9466.68533846,8988.61009722,9185.11015959,9313.13955235,323821.521344026,53704948.8297127,9202.71417176143,9230.33528248,9279.42829975286,177422.85939277,1646382702.47235
70,Wrapped Bitcoin,WBTC,2020,7,2,9479.91342388,9114.26197233,9313.1395414,9217.74462774,177422.85939277,68518139.6982939,9291.02944589,9279.42829975286,9194.95330293143,209989.548816401,1930844095.47045
71,Wrapped Bitcoin,WBTC,2020,7,3,9449.53291257,9026.89003309,9212.91153497,9356.65261656,209989.548816401,108725272.75265,9171.55560666143,9194.95330293143,10465.970089334,843157.981021396,8824466209.95318
72,Wrapped Bitcoin,WBTC,2020,7,4,12376.0807869,9292.7094758,9353.98826206,11919.1805283,843157.981021396,158455983.191933,10205.792942753,10465.970089334,11425.2546087143,1206583.79584224,13785527074.2465
73,Wrapped Bitcoin,WBTC,2020,8,1,12838.1677828,10771.1470116,11919.1805283,11562.4477047,1206583.79584224,180669602.774978,11472.9773557286,11425.2546087143,11782.7662912429,2834575.11427831,33399136106.5144
74,Wrapped Bitcoin,WBTC,2020,8,2,12458.8892957,11060.6601892,11585.176757,11953.824101,2834575.11427831,230952469.893101,11732.8953435286,11782.7662912429,11851.1171073,4721946.87134092,55960345346.7101
75,Wrapped Bitcoin,WBTC,2020,8,3,12420.513774,11409.3140807,11963.7082142,11430.2030367,4721946.87134092,341536405.814591,11920.3279060857,11851.1171073,11717.99910774,9924879.02117632,116299723514.572
76,Wrapped Bitcoin,WBTC,2020,8,4,12512.9551837,11192.3576879,11429.1040971,11845.5853788,9924879.02117632,374045475.950121,11675.89058064,11717.99910774,10757.5315471286,14538180.0716539,156394930758.653
77,Wrapped Bitcoin,WBTC,2020,9,1,12388.6725304,9924.05544734,11847.0830405,10370.3701074,14538180.0716539,451842795.315847,10973.0038110571,10757.5315471286,10390.3889663286,19112332.3564465,198584567237.226
78,Wrapped Bitcoin,WBTC,2020,9,2,10933.1540405,9947.83353097,10371.583201,10700.845567,19112332.3564465,550871670.837942,10343.7487126571,10390.3889663286,10922.9378618857,65073106.7924899,710789501974.22
79,Wrapped Bitcoin,WBTC,2020,9,3,12287.9694277,10403.0578092,10700.845567,10551.3470097,65073106.7924899,756537130.986148,10945.2754525857,10922.9378618857,10684.4561186422,62362494.1386768,666309332073.775
